Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,ButEncaisse,ButEncaisse90,TCC,Arrêts,Arrêts%,V,N,D,CleanSheet,CleanSheet%,PenTire,PenConcede,PenArrete,PenManques,Arrêts%
Alisson,BRA,GB,Liverpool,32-013,1992,6,6,528,5.9,2,0.34,17,15,88.2,5,0,1,3,50.0,0,0,0,0,
Alphonse Areola,FRA,GB,West Ham,31-231,1993,7,7,585,6.5,10,1.54,25,15,60.0,2,2,3,1,14.3,0,0,0,0,
Kepa Arrizabalaga,ESP,GB,Bournemouth,30-012,1994,4,4,360,4.0,7,1.75,25,18,72.0,2,0,2,0,0.0,0,0,0,0,
Ederson,BRA,GB,Manchester City,31-059,1993,7,7,630,7.0,8,1.14,22,15,68.2,5,2,0,1,14.3,1,1,0,0,0.0
Łukasz Fabiański,POL,GB,West Ham,39-180,1985,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,
Mark Flekken,NED,GB,Brentford,31-124,1993,7,7,630,7.0,13,1.86,45,33,71.1,3,1,3,0,0.0,0,0,0,0,
Dean Henderson,ENG,GB,Crystal Palace,27-217,1997,7,7,630,7.0,10,1.43,31,21,67.7,0,3,4,1,14.3,0,0,0,0,
Mads Hermansen,DEN,GB,Leicester City,24-096,2000,7,7,630,7.0,12,1.71,44,33,75.0,1,3,3,1,14.3,1,1,0,0,0.0
Vitezslav Jaros,CZE,GB,Liverpool,23-084,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Sam Johnstone,ENG,GB,Wolves,31-204,1993,5,5,450,5.0,13,2.60,32,19,65.6,0,1,4,0,0.0,2,2,0,0,0.0
Caoimhín Kelleher,IRL,GB,Liverpool,25-327,1998,1,1,90,1.0,0,0.00,6,6,100.0,1,0,0,1,100.0,0,0,0,0,
Bernd Leno,GER,GB,Fulham,32-225,1992,7,7,630,7.0,8,1.14,29,21,72.4,3,2,2,1,14.3,0,0,0,0,
Emiliano Martínez,ARG,GB,Aston Villa,32-043,1992,7,7,630,7.0,9,1.29,25,16,68.0,4,2,1,1,14.3,1,1,0,0,0.0
Alex McCarthy,ENG,GB,Southampton,34-317,1989,2,2,180,2.0,2,1.00,9,7,77.8,0,0,2,0,0.0,0,0,0,0,
Arijanet Muric,KVX,GB,Ipswich Town,25-343,1998,6,6,540,6.0,12,2.00,33,21,66.7,0,4,2,1,16.7,1,1,0,0,0.0
Neto,BRA,GB,Bournemouth,35-088,1989,2,2,180,2.0,2,1.00,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
André Onana,CMR,GB,Manchester Utd,28-196,1996,7,7,630,7.0,8,1.14,27,18,70.4,2,2,3,4,57.1,1,0,1,0,100.0
Jordan Pickford,ENG,GB,Everton,30-222,1994,7,7,630,7.0,15,2.14,34,18,55.9,1,2,4,1,14.3,1,0,1,0,100.0
Nick Pope,ENG,GB,Newcastle Utd,32-179,1992,7,7,630,7.0,7,1.00,37,31,81.1,3,3,1,2,28.6,0,0,0,0,
Aaron Ramsdale,ENG,GB,Southampton,26-154,1998,5,5,450,5.0,13,2.60,35,22,62.9,0,1,4,0,0.0,0,0,0,0,
David Raya,ESP,GB,Arsenal,29-030,1995,7,7,630,7.0,6,0.86,31,25,80.6,5,2,0,3,42.9,0,0,0,0,
José Sá,POR,GB,Wolves,31-272,1993,2,2,180,2.0,8,4.00,14,6,42.9,0,0,2,0,0.0,0,0,0,0,
Robert Sánchez,ESP,GB,Chelsea,26-332,1997,7,7,630,7.0,8,1.14,40,31,80.0,4,2,1,2,28.6,1,0,1,0,100.0
Matz Sels,BEL,GB,Nott'ham Forest,32-232,1992,7,7,630,7.0,6,0.86,25,19,80.0,2,4,1,2,28.6,1,1,0,0,0.0
Jason Steele,ENG,GB,Brighton,34-058,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
Mark Travers,IRL,GB,Bournemouth,25-150,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Bart Verbruggen,NED,GB,Brighton,22-058,2002,5,5,450,5.0,9,1.80,20,11,65.0,1,3,1,1,20.0,2,2,0,0,0.0
Guglielmo Vicario,ITA,GB,Tottenham,28-008,1996,7,7,630,7.0,8,1.14,23,15,65.2,3,1,3,2,28.6,0,0,0,0,
Christian Walton,ENG,GB,Ipswich Town,28-341,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
